id,first_name,second_name,web_name,team_name,element,minutes,total_points
578,Luka,Vušković,Vuskovic,Spurs,578,0,0
594,Yang,Min-hyeok,Min-hyeok,Spurs,594,0,0
751,Yusuf,Akhamrich,Akhamrich,Spurs,751,0,0
790,Lucá,Williams-Barnett,Williams-Barnett,Spurs,790,0,0
811,Rio,Kyerematen,Kyerematen,Spurs,811,0,0
601,Wes,Foderingham,Foderingham,West Ham,601,0,0
602,Krisztián,Hegyi,Hegyi,West Ham,602,0,0
752,Airidas,Golambeckis,Golambeckis,West Ham,752,0,0
802,Keiber,Lamadrid,Lamadrid,West Ham,802,0,0
825,Finlay,Herrick,Herrick,West Ham,825,0,0
639,Bastien,Meupiyou Menadjou,Meupiyou,Wolves,639,0,0
653,Joe,Hodge,Hodge,Wolves,653,0,0
766,Saheed,Olagunju,Olagunju,Wolves,766,0,0
767,Luke,Rawlings,Rawlings,Wolves,767,0,0
777,Temple,Ojinnaka,Ojinnaka,Wolves,777,0,0
778,Ethan,Sutherland,Sutherland,Wolves,778,0,0
828,Alfie,Brooks,Brooks,Wolves,828,0,0
831,Josh,Gracey,Gracey,Wolves,831,0,0
